D06	Queen's Gambit Refused: Austrian Attack, Salvio Countergambit	rnbqkbnr/pp2pppp/8/2P5/2Pp4/8/PP2PPPP/RNBQKBNR w KQkq -	d2d4 d7d5 c2c4 c7c5 d4c5 d5d4
D06	Queen's Gambit Refused: Austrian Defense, Gusev Countergambit	rnbqkb1r/pp2pppp/5n2/2pP4/3P4/8/PP2PPPP/RNBQKBNR w KQkq -	d2d4 d7d5 c2c4 c7c5 c4d5 g8f6
D06	Queen's Gambit Refused: Austrian Defense, Haberditz Variation	rnb1kb1r/pp2pppp/8/q1PP4/4n3/8/PP3PPP/RNBQKBNR w KQkq -	d2d4 d7d5 c2c4 c7c5 c4d5 g8f6 e2e4 f6e4 d4c5 d8a5
D06	Queen's Gambit Refused: Austrian Defense	rnbqkbnr/pp2pppp/8/2pp4/2PP4/8/PP2PPPP/RNBQKBNR w KQkq -	d2d4 d7d5 c2c4 c7c5
D06	Queen's Gambit Refused: Baltic Defense, Argentinian Gambit	r2qkbnr/pp2pppp/2n5/8/Q2P4/8/PP2PPPP/RbB1KBNR w KQkq -	d2d4 d7d5 c2c4 c8f5 c4d5 f5b1 d1a4 c7c6 d5c6 b8c6
D06	Queen's Gambit Refused: Baltic Defense, Pseudo-Chigorin	r2qkbnr/ppp2ppp/2n1p3/3p1b2/2PP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq -	d2d4 d7d5 c2c4 c8f5 b1c3 e7e6 g1f3 b8c6
D06	Queen's Gambit Refused: Baltic Defense, Queen Attack Deferred	rn1qkbnr/ppp2ppp/4p3/3p1b2/2PP4/1QN5/PP2PPPP/R1B1KBNR b KQkq -	d2d4 d7d5 c2c4 c8f5 b1c3 e7e6 d1b3
D06	Queen's Gambit Refused: Baltic Defense, Queen Attack	rn1qkbnr/ppp1pppp/8/3p1b2/2PP4/1Q6/PP2PPPP/RNB1KBNR b KQkq -	d2d4 d7d5 c2c4 c8f5 d1b3
D06	Queen's Gambit Refused: Baltic Defense	rn1qkbnr/ppp1pppp/8/3p1b2/2PP4/8/PP2PPPP/RNBQKBNR w KQkq -	d2d4 d7d5 c2c4 c8f5
D06	Queen's Gambit Refused: Marshall Defense	rnbqkb1r/ppp1pppp/5n2/3p4/2PP4/8/PP2PPPP/RNBQKBNR w KQkq -	d2d4 d7d5 c2c4 g8f6
